,cate,gene,name,expr,time,treat
1,inflam,Ace,W4_WT,-0.17852468,W4,WT
2,inflam,Ager,W4_WT,1.305116407,W4,WT
3,inflam,Aoc3,W4_WT,0.331251092,W4,WT
4,inflam,App,W4_WT,-0.069765745,W4,WT
5,inflam,Ccl3,W4_WT,-1.094886977,W4,WT
6,inflam,Ccl5,W4_WT,0.17185769,W4,WT
7,inflam,Cd6,W4_WT,-0.059577241,W4,WT
8,inflam,Cebpa,W4_WT,-0.00346539,W4,WT
9,inflam,Cnr1,W4_WT,0.516448392,W4,WT
10,inflam,Ctss,W4_WT,1.538424625,W4,WT
11,inflam,Ddt,W4_WT,-0.980555927,W4,WT
12,inflam,Ednra,W4_WT,-1.064204381,W4,WT
13,inflam,Egfr,W4_WT,0.318288134,W4,WT
14,inflam,Fabp4,W4_WT,-0.352022995,W4,WT
15,inflam,Gbp5,W4_WT,0.036093935,W4,WT
16,inflam,Gprc5b,W4_WT,0.0673638,W4,WT
17,inflam,Hyal2,W4_WT,0.091024892,W4,WT
18,inflam,Il17rb,W4_WT,0.676769718,W4,WT
19,inflam,Il1b,W4_WT,0.428234022,W4,WT
20,inflam,Il1rl1,W4_WT,-0.728807847,W4,WT
21,inflam,Il33,W4_WT,-0.992333315,W4,WT
22,inflam,Lbp,W4_WT,0.083798728,W4,WT
23,inflam,Ldlr,W4_WT,-1.638495646,W4,WT
24,inflam,Lrrk2,W4_WT,-0.27727465,W4,WT
25,inflam,Mif,W4_WT,-1.514608718,W4,WT
26,inflam,Nfkbia,W4_WT,-0.270874821,W4,WT
27,inflam,Pde5a,W4_WT,-0.287281081,W4,WT
28,inflam,Prkca,W4_WT,-0.317213599,W4,WT
29,inflam,Ptger3,W4_WT,-0.413278455,W4,WT
30,inflam,Ptger4,W4_WT,-0.027408746,W4,WT
31,inflam,Ptgs2,W4_WT,0.493971648,W4,WT
32,inflam,S100a8,W4_WT,-0.485461654,W4,WT
33,inflam,S100a9,W4_WT,-0.299672364,W4,WT
34,inflam,Serpine1,W4_WT,-1.133436648,W4,WT
35,inflam,Stap1,W4_WT,-0.140657564,W4,WT
36,inflam,Tgm2,W4_WT,-1.36569607,W4,WT
37,inflam,Tlr2,W4_WT,1.444122837,W4,WT
38,inflam,Tnf,W4_WT,-0.240282036,W4,WT
39,inflam,Ttbk1,W4_WT,-0.481436372,W4,WT
40,inflam,Vamp7,W4_WT,-1.167445652,W4,WT
41,inflam,Wnt5a,W4_WT,-0.339483143,W4,WT
42,fat,Abcd1,W4_WT,-2.294438295,W4,WT
43,fat,Abhd1,W4_WT,1.117599062,W4,WT
44,fat,Abhd2,W4_WT,-0.057074301,W4,WT
45,fat,Acacb,W4_WT,-1.301361686,W4,WT
46,fat,Acot11,W4_WT,0.244028657,W4,WT
47,fat,Acot12,W4_WT,-1.055227528,W4,WT
48,fat,Acsl3,W4_WT,-1.016998158,W4,WT
49,fat,Acsm3,W4_WT,0.145937726,W4,WT
50,fat,Acss2,W4_WT,-0.928466043,W4,WT
51,fat,Agt,W4_WT,0.375740645,W4,WT
52,fat,Aloxe3,W4_WT,-0.335744994,W4,WT
53,fat,Anxa1,W4_WT,-0.533215812,W4,WT
54,fat,Apoa5,W4_WT,1.598694095,W4,WT
55,fat,Apoc2,W4_WT,1.086916328,W4,WT
56,fat,Asah2,W4_WT,-0.798830205,W4,WT
57,fat,Avpr1a,W4_WT,1.027103385,W4,WT
58,fat,Cd74,W4_WT,-1.491554538,W4,WT
59,fat,Edn1,W4_WT,0.143735099,W4,WT
60,fat,Elovl2,W4_WT,1.921104807,W4,WT
61,fat,Elovl6,W4_WT,-0.58595923,W4,WT
62,fat,Elovl7,W4_WT,0.985167654,W4,WT
63,fat,Erlin1,W4_WT,-0.348742083,W4,WT
64,fat,Fabp5,W4_WT,-0.550948405,W4,WT
65,fat,Fads3,W4_WT,-1.001679767,W4,WT
66,fat,Fads6,W4_WT,0.136638348,W4,WT
67,fat,Fasn,W4_WT,-1.233134752,W4,WT
68,fat,Hacd4,W4_WT,0.646815482,W4,WT
69,fat,Hpgds,W4_WT,1.287308076,W4,WT
70,fat,Insig1,W4_WT,0.033224183,W4,WT
71,fat,Insig2,W4_WT,1.515119651,W4,WT
72,fat,Lipc,W4_WT,-0.792857736,W4,WT
73,fat,Lpl,W4_WT,0.09015767,W4,WT
74,fat,Mapk9,W4_WT,-1.848121227,W4,WT
75,fat,Mgll,W4_WT,-2.17976107,W4,WT
76,fat,Mid1ip1,W4_WT,-2.058520436,W4,WT
77,fat,Mif.1,W4_WT,-1.514608718,W4,WT
78,fat,Mlxipl,W4_WT,-0.287628138,W4,WT
79,fat,Myo5a,W4_WT,-0.769949141,W4,WT
80,fat,Pecr,W4_WT,-1.207001993,W4,WT
81,fat,Pla2g1b,W4_WT,-0.296926457,W4,WT
82,fat,Prkaa1,W4_WT,-0.168296877,W4,WT
83,fat,Prkaa2,W4_WT,0.015134669,W4,WT
84,fat,Prkab1,W4_WT,-0.064099511,W4,WT
85,fat,Prkab2,W4_WT,0.211389709,W4,WT
86,fat,Prkag3,W4_WT,1.245155292,W4,WT
87,fat,Ptgs1,W4_WT,1.170298084,W4,WT
88,fat,Ptgs2.1,W4_WT,0.493971648,W4,WT
89,fat,Rgn,W4_WT,0.417734011,W4,WT
90,fat,Scd1,W4_WT,-1.653308748,W4,WT
91,fat,Scd2,W4_WT,-0.341544592,W4,WT
92,fat,Slc45a3,W4_WT,0.13134189,W4,WT
93,fat,Sphk1,W4_WT,0.459832469,W4,WT
94,fat,Tecr,W4_WT,-1.186150666,W4,WT
95,fat,Thnsl2,W4_WT,-1.110286726,W4,WT
96,fat,Wdtc1,W4_WT,0.026212039,W4,WT